Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Oct-1921,4.05,7.91,0.31,0.61,4.36,8.52
Nov-1921,4.38,8.55,0.26,0.52,4.64,9.07
Dec-1921,3.79,7.41,0.48,0.95,4.27,8.36
Jan-1922,4.09,7.91,0.33,0.66,4.42,8.56
Feb-1922,3.45,6.76,1.66,3.2,5.11,9.96
Mar-1922,3.95,7.62,0.44,0.87,4.38,8.49
Apr-1922,3.53,6.91,1.19,2.3,4.73,9.21
May-1922,4.05,7.91,0.48,0.92,4.53,8.84
Jun-1922,4.11,8.01,0.41,0.8,4.52,8.81
Jul-1922,4.08,7.97,0.33,0.66,4.42,8.63
Aug-1922,4.45,8.67,0.28,0.56,4.74,9.24
Sep-1922,4.2,8.2,0.29,0.58,4.5,8.78
Oct-1922,4.19,8.18,0.27,0.53,4.46,8.72
Nov-1922,4.71,9.07,0.29,0.58,5,9.65
Dec-1922,3.4,6.68,1.63,3.17,5.04,9.84
Jan-1923,3.67,7.18,0.95,1.83,4.62,9.01
Feb-1923,4.28,8.3,0.3,0.61,4.59,8.9
Mar-1923,4.51,8.72,0.29,0.56,4.8,9.28
Apr-1923,4.2,8.11,0.31,0.62,4.51,8.73
May-1923,4.17,8.13,0.38,0.74,4.55,8.87
Jun-1923,4.34,8.42,0.35,0.7,4.69,9.12
Jul-1923,3.58,6.99,0.59,1.15,4.17,8.14
Aug-1923,4.45,8.66,0.32,0.62,4.77,9.28
Sep-1923,4.92,9.52,0.26,0.52,5.18,10.04
Oct-1923,4.74,9.2,0.24,0.48,4.99,9.68
Nov-1923,5.03,9.67,0.27,0.54,5.3,10.21
Dec-1923,4.81,9.31,0.26,0.52,5.07,9.83
Jan-1924,4.66,9,0.29,0.55,4.94,9.54
Feb-1924,4.19,8.12,0.31,0.61,4.5,8.73
Mar-1924,4.61,8.91,0.3,0.6,4.91,9.52
Apr-1924,5.14,9.91,0.27,0.52,5.41,10.43
May-1924,4.84,9.37,0.26,0.51,5.09,9.88
Jun-1924,4.67,9.07,0.27,0.53,4.94,9.6
Jul-1924,4.18,8.15,0.33,0.65,4.51,8.8
Aug-1924,4.42,8.62,0.28,0.55,4.7,9.18
Sep-1924,5.02,9.68,0.26,0.51,5.28,10.19
Oct-1924,5.18,10,0.28,0.54,5.47,10.54
Nov-1924,4.9,9.44,0.28,0.56,5.18,10
Dec-1924,4.4,8.48,0.31,0.61,4.71,9.1
Jan-1925,4.57,8.83,0.28,0.56,4.85,9.39
Feb-1925,3.15,6.15,12.82,25.05,15.97,31.2
Mar-1925,4.42,8.52,0.32,0.63,4.74,9.15
Apr-1925,3.68,7.2,1.01,1.97,4.69,9.18
May-1925,4.67,9.07,0.29,0.58,4.96,9.65
Jun-1925,4.03,7.84,0.36,0.7,4.39,8.55
Jul-1925,3.49,6.83,0.64,1.23,4.13,8.06
Aug-1925,4.35,8.47,0.32,0.63,4.67,9.1
Sep-1925,5.1,9.77,0.27,0.53,5.36,10.3
Oct-1925,5.24,10.04,0.26,0.53,5.51,10.57
Nov-1925,5.13,9.83,0.27,0.53,5.39,10.36
Dec-1925,4.78,9.25,0.26,0.51,5.04,9.76
Jan-1926,3.93,7.66,0.26,0.51,4.19,8.17
Feb-1926,3.2,6.27,6.25,12.41,9.45,18.68
Mar-1926,3.77,7.36,0.45,0.88,4.22,8.24
Apr-1926,3.85,7.53,0.32,0.63,4.17,8.15
May-1926,3.73,7.28,0.48,0.92,4.21,8.2
Jun-1926,3.96,7.73,0.48,0.92,4.44,8.65
Jul-1926,3.82,7.45,0.49,0.93,4.3,8.38
Aug-1926,5.01,9.71,0.22,0.44,5.23,10.15
Sep-1926,5.05,9.74,0.26,0.5,5.31,10.23
Oct-1926,5.24,10.1,0.26,0.5,5.51,10.6
Nov-1926,3.76,7.35,0.57,1.12,4.33,8.47
Dec-1926,3.28,6.41,2.2,4.31,5.47,10.72
Jan-1927,3.17,6.2,2.8,5.48,5.96,11.68
Feb-1927,3.3,6.48,41.44,78.08,44.75,84.56
Mar-1927,3.46,6.78,1.55,2.97,5.01,9.75
Apr-1927,3.09,6.04,4.35,8.57,7.43,14.61
May-1927,4.5,8.76,0.3,0.59,4.8,9.35
Jun-1927,4.26,8.3,0.32,0.63,4.58,8.93
Jul-1927,3.25,6.35,1.12,2.18,4.37,8.53
Aug-1927,3.88,7.57,0.48,0.93,4.36,8.5
Sep-1927,4.03,7.86,0.3,0.6,4.33,8.46
Oct-1927,4.9,9.43,0.27,0.54,5.17,9.98
Nov-1927,4.31,8.33,0.32,0.64,4.63,8.98
Dec-1927,3.99,7.78,0.26,0.52,4.25,8.31
Jan-1928,3.73,7.28,0.63,1.23,4.36,8.52
Feb-1928,3.66,7.16,1.4,2.68,5.07,9.84
Mar-1928,3.32,6.52,18.58,36.01,21.9,42.52
Apr-1928,3.36,6.58,1.38,2.65,4.73,9.23
May-1928,3.4,6.65,0.77,1.5,4.18,8.15
Jun-1928,3.42,6.67,0.66,1.28,4.08,7.96
Jul-1928,3.24,6.32,1.61,3.13,4.84,9.44
Aug-1928,3.59,7,0.51,0.98,4.1,7.98
Sep-1928,3.62,7.05,0.35,0.68,3.96,7.73
Oct-1928,4.32,8.42,0.29,0.57,4.61,8.99
Nov-1928,4.9,9.43,0.29,0.59,5.19,10.02
Dec-1928,4.67,9.01,0.28,0.55,4.94,9.57
Jan-1929,4.5,8.74,0.26,0.53,4.77,9.27
Feb-1929,3.78,7.39,0.61,1.19,4.4,8.58
Mar-1929,4.57,8.79,0.3,0.6,4.87,9.4
Apr-1929,4.78,9.25,0.26,0.52,5.04,9.78
May-1929,4.34,8.46,0.31,0.62,4.65,9.08
Jun-1929,4.53,8.81,0.28,0.54,4.81,9.36
Jul-1929,4.11,8.01,0.33,0.65,4.44,8.66
Aug-1929,4.46,8.69,0.28,0.56,4.74,9.24
Sep-1929,5.24,10.03,0.26,0.52,5.5,10.55
Oct-1929,4.66,9.08,0.25,0.49,4.91,9.57
Nov-1929,4.99,9.61,0.27,0.54,5.26,10.15
Dec-1929,3.37,6.61,1.54,2.98,4.91,9.59
Jan-1930,3.61,7.04,1.18,2.26,4.79,9.3
Feb-1930,3.64,7.12,1.43,2.73,5.07,9.85
Mar-1930,3.63,7.11,1.06,2.06,4.69,9.17
Apr-1930,4.6,8.89,0.29,0.55,4.88,9.44
May-1930,4.92,9.53,0.22,0.43,5.14,9.96
Jun-1930,4.48,8.7,0.3,0.59,4.78,9.29
Jul-1930,4.16,8.09,0.36,0.71,4.52,8.8
Aug-1930,4.77,9.25,0.26,0.51,5.03,9.76
Sep-1930,5.13,9.89,0.26,0.5,5.39,10.39
Oct-1930,5.1,9.81,0.27,0.51,5.37,10.32
Nov-1930,5.06,9.76,0.26,0.51,5.32,10.27
Dec-1930,5.05,9.73,0.29,0.55,5.33,10.28
Jan-1931,3.98,7.74,0.28,0.56,4.26,8.3
Feb-1931,4.49,8.66,0.32,0.63,4.81,9.3
Mar-1931,4.59,8.89,0.28,0.56,4.87,9.45
Apr-1931,4.63,8.99,0.26,0.52,4.89,9.5
May-1931,4.92,9.53,0.26,0.51,5.18,10.04
Jun-1931,4.95,9.59,0.24,0.47,5.19,10.06
Jul-1931,4.34,8.45,0.32,0.64,4.66,9.08
Aug-1931,4.87,9.46,0.22,0.45,5.1,9.91
Sep-1931,5.21,10.03,0.27,0.52,5.48,10.55
Oct-1931,5.13,9.84,0.27,0.53,5.39,10.37
Nov-1931,4.98,9.62,0.26,0.52,5.24,10.14
Dec-1931,3.36,6.59,1.62,3.13,4.97,9.72
Jan-1932,3.75,7.34,0.61,1.18,4.35,8.52
Feb-1932,4.38,8.49,0.29,0.57,4.67,9.06
Mar-1932,4.14,8.02,0.3,0.58,4.44,8.6
Apr-1932,4.68,9.04,0.28,0.54,4.96,9.58
May-1932,5.12,9.84,0.27,0.55,5.39,10.39
Jun-1932,4.82,9.36,0.22,0.45,5.05,9.81
Jul-1932,4.89,9.47,0.24,0.47,5.13,9.94
Aug-1932,5.11,9.88,0.22,0.43,5.32,10.31
Sep-1932,5.05,9.75,0.26,0.5,5.31,10.24
Oct-1932,5.24,10.1,0.26,0.5,5.51,10.6
Nov-1932,5.3,10.18,0.27,0.51,5.56,10.69
Dec-1932,4.82,9.33,0.26,0.52,5.08,9.85
Jan-1933,4.11,8.01,0.27,0.55,4.38,8.56
