Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Oct-1921,3.92,7.65,0.3,0.6,4.22,8.25
Nov-1921,4.42,8.63,0.27,0.53,4.69,9.16
Dec-1921,3.79,7.41,0.48,0.95,4.27,8.36
Jan-1922,4.09,7.91,0.33,0.66,4.42,8.56
Feb-1922,3.29,6.45,2.87,5.64,6.16,12.08
Mar-1922,3.96,7.64,0.44,0.87,4.39,8.52
Apr-1922,3.65,7.13,1.04,2.01,4.69,9.14
May-1922,4.05,7.91,0.48,0.92,4.53,8.84
Jun-1922,3.98,7.77,0.48,0.93,4.46,8.69
Jul-1922,3.96,7.73,0.49,0.93,4.45,8.67
Aug-1922,4.25,8.28,0.32,0.64,4.57,8.91
Sep-1922,4.83,9.32,0.28,0.55,5.11,9.88
Oct-1922,4.89,9.39,0.27,0.54,5.15,9.92
Nov-1922,4.73,9.11,0.28,0.56,5.01,9.67
Dec-1922,3.33,6.53,2.56,5.01,5.88,11.54
Jan-1923,3.65,7.13,1.18,2.27,4.84,9.4
Feb-1923,4.28,8.3,0.3,0.61,4.59,8.9
Mar-1923,4.5,8.72,0.29,0.56,4.8,9.28
Apr-1923,4.2,8.11,0.31,0.62,4.51,8.73
May-1923,4.07,7.94,0.38,0.75,4.45,8.68
Jun-1923,4.28,8.32,0.35,0.7,4.63,9.01
Jul-1923,3.67,7.16,0.51,0.97,4.18,8.13
Aug-1923,4.45,8.66,0.32,0.62,4.77,9.28
Sep-1923,4.87,9.43,0.26,0.52,5.13,9.95
Oct-1923,4.75,9.2,0.24,0.48,4.99,9.69
Nov-1923,5.03,9.68,0.27,0.54,5.3,10.22
Dec-1923,4.84,9.36,0.26,0.52,5.1,9.88
Jan-1924,4.66,9,0.29,0.55,4.94,9.54
Feb-1924,4.19,8.12,0.31,0.61,4.5,8.73
Mar-1924,4.61,8.91,0.3,0.6,4.91,9.52
Apr-1924,5.13,9.86,0.26,0.52,5.39,10.38
May-1924,4.83,9.37,0.26,0.51,5.09,9.88
Jun-1924,4.72,9.14,0.29,0.58,5.01,9.72
Jul-1924,4.44,8.63,0.32,0.62,4.76,9.26
Aug-1924,4.87,9.47,0.22,0.44,5.1,9.91
Sep-1924,5.23,10.08,0.26,0.52,5.49,10.6
Oct-1924,5.21,10.05,0.28,0.54,5.5,10.6
Nov-1924,4.9,9.44,0.28,0.56,5.18,10
Dec-1924,4.48,8.63,0.31,0.61,4.79,9.24
Jan-1925,4.57,8.83,0.28,0.56,4.85,9.39
Feb-1925,3.2,6.29,17.94,34.81,21.14,41.1
Mar-1925,4.42,8.52,0.32,0.63,4.74,9.15
Apr-1925,3.68,7.2,1.01,1.97,4.69,9.18
May-1925,4.7,9.13,0.26,0.52,4.96,9.65
Jun-1925,4.1,7.98,0.36,0.7,4.45,8.68
Jul-1925,3.76,7.33,0.5,0.96,4.26,8.29
