Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,12478032,319436319,331914351,543405,4722629,5266035,5344233,67339910,72684143,206778,4103472,4310250
30-Nov-1921,7273554,296846908,304120462,120869,5395052,5515921,5475643,75312480,80788123,9752,4493578,4503330
31-Dec-1921,14635925,328659874,343295799,2002779,5013127,7015906,6977335,65482517,72459852,483203,3684512,4167715
31-Jan-1922,7084779,312820801,319905579,178144,5624266,5802410,6864365,64412667,71277032,9937,6009411,6019348
28-Feb-1922,27930611,368534326,396464938,2272803,3823639,6096442,25320645,61051177,86371821,2720219,3142650,5862869
31-Mar-1922,10896041,326553091,337449132,1601118,6216164,7817282,7748562,61125354,68873916,10110,5850114,5860224
30-Apr-1922,15785263,349127487,364912750,2934204,4059356,6993561,15569818,63840590,79410408,1517882,3592476,5110359
31-May-1922,8494139,318890818,327384958,1652045,4511397,6163442,6062587,70520787,76583374,879513,4046540,4926053
30-Jun-1922,7766038,311314171,319080210,1316767,4897190,6213957,6608462,70096052,76704514,269292,4476949,4746240
31-Jul-1922,8368129,313997461,322365590,1316767,5112914,6429681,6704457,69257537,75961994,269292,4118493,4387784
31-Aug-1922,8079778,303176879,311256658,544293,4480713,5025005,5785105,72729413,78514518,206248,4737600,4943847
30-Sep-1922,5986321,282799213,288785535,116859,7083539,7200397,5802493,74806574,80609067,9159,7367260,7376419
31-Oct-1922,5902764,289935315,295838080,146324,6162040,6308364,6143985,74073782,80217768,9369,6883727,6893096
30-Nov-1922,5933534,289146490,295080024,121178,6339804,6460982,6058278,72448071,78506349,9369,7520905,7530274
31-Dec-1922,27125209,366852451,393977660,1679272,4321729,6001001,27023746,60451648,87475394,2144393,2824031,4968424
31-Jan-1923,17340401,345359795,362700196,2274963,5593757,7868720,13555395,63126884,76682278,1531656,3413722,4945377
28-Feb-1923,5792110,298798173,304590283,63774,6422847,6486621,6430495,68195098,74625593,9369,5855933,5865302
31-Mar-1923,5606532,274370837,279977370,0,6195542,6195542,4654328,71993644,76647972,542437,6246513,6788950
30-Apr-1923,6344885,309279806,315624691,150644,5207140,5357783,6544530,66645623,73190153,9567,6156346,6165912
31-May-1923,8805800,309184564,317990364,1317654,5493339,6810994,5999246,70510550,76509797,269465,4568217,4837682
30-Jun-1923,7629241,300534200,308163442,551129,4970573,5521702,6357897,71949606,78307503,228838,5451750,5680587
31-Jul-1923,11360001,330144640,341504641,1809590,4103683,5913273,6427275,63317127,69744402,884802,3850131,4734933
31-Aug-1923,7687142,296651399,304338540,535295,4620324,5155619,5656464,75145869,80802333,181508,5398653,5580161
30-Sep-1923,5149862,260410425,265560287,9969,11425999,11435969,5591203,73389362,78980565,0,7038798,7038798
31-Oct-1923,7065999,286451513,293517512,171469,6164664,6336133,4991203,77332603,82323806,9369,6231683,6241052
30-Nov-1923,5695541,274669119,280364660,116859,7414506,7531365,5669394,75869789,81539183,8949,8285663,8294613
31-Dec-1923,5370553,267099878,272470431,0,9643292,9643292,5527392,73857658,79385050,8727,6748011,6756738
31-Jan-1924,5402562,268557898,273960460,0,6963422,6963422,4509501,72705626,77215128,542437,6824102,7366539
29-Feb-1924,6473573,302201894,308675467,63774,6307428,6371201,6473619,66897599,73371217,9369,5668666,5678035
31-Mar-1924,5756114,291168958,296925072,116859,5710933,5827792,6361612,73334324,79695936,9369,6734179,6743548
30-Apr-1924,5345902,262658116,268004019,29336,9182124,9211460,5572554,76191971,81764525,8727,8386769,8395496
31-May-1924,7784320,282282975,290067294,0,6268730,6268730,5094323,78832256,83926579,155774,6295561,6451335
30-Jun-1924,7786937,288745691,296532628,535295,5292535,5827830,5219550,76945098,82164649,181311,6436049,6617360
31-Jul-1924,8705456,306028488,314733944,543405,4682824,5226229,5935445,72016383,77951828,206433,4395532,4601964
31-Aug-1924,7257318,289390806,296648124,120869,5356887,5477755,5210474,78133008,83343482,9567,5354117,5363683
30-Sep-1924,5121660,255094598,260216259,0,11082200,11082200,5569187,74490142,80059329,8727,8018277,8027005
31-Oct-1924,4844545,240753905,245598450,8106,11044061,11052167,4483231,76587406,81070637,533710,7959019,8492728
30-Nov-1924,5813851,274837580,280651431,29336,7980779,8010115,5966088,74110849,80076938,8949,7233224,7242173
31-Dec-1924,5880808,300483580,306364388,121178,5461333,5582511,6445325,68179217,74624542,9567,6892562,6902128
31-Jan-1925,5609512,286978373,292587886,65149,7037114,7102263,5975120,71809822,77784943,9369,6462950,6472320
28-Feb-1925,236493245,474543694,711036938,13762268,6035013,19797281,223609184,52190717,275799902,12853325,3156423,16009749
31-Mar-1925,5882099,300920843,306802942,121178,5838416,5959595,6630785,68403551,75034336,9752,6986445,6996196
30-Apr-1925,14947469,345842210,360789679,1650161,4503265,6153426,16764233,64713800,81478033,1132637,3303145,4435782
31-May-1925,7878682,289018610,296897292,535295,5687368,6222663,5214707,77543003,82757710,181693,5794655,5976348
30-Jun-1925,7686478,308919667,316606145,552992,4225008,4778001,6425943,70427828,76853771,228838,4542925,4771762
31-Jul-1925,12115336,337002422,349117758,3438822,3525483,6964305,7603368,61571869,69175237,885135,3362327,4247463
31-Aug-1925,7868085,293758216,301626300,0,4628271,4628271,5537516,76960488,82498004,156157,5445831,5601987
30-Sep-1925,5661533,272899566,278561099,57276,7504277,7561553,5623036,74723790,80346826,8949,8864494,8873444
31-Oct-1925,5663396,271942567,277605963,57276,7631350,7688625,5619974,75033933,80653907,8949,8932942,8941892
30-Nov-1925,5853276,273417945,279271221,57276,7601428,7658704,5684071,74965925,80649996,9159,8672075,8681234
31-Dec-1925,5825990,272897773,278723763,0,8822477,8822477,5574657,73814796,79389453,8949,6501651,6510601
31-Jan-1926,11967687,320388403,332356091,107567,6109284,6216851,4990567,65591673,70582240,156515,4273620,4430135
28-Feb-1926,83726213,414856701,498582914,4391841,5934208,10326049,124226251,54805442,179031694,1968688,2674188,4642876
31-Mar-1926,13800610,330776196,344576806,2170774,4324164,6494938,6808386,65005754,71814139,206951,3943420,4150371
30-Apr-1926,11812716,324429048,336241764,543405,4595482,5138888,5670510,67241651,72912161,206951,3648673,3855624
31-May-1926,11879918,333159179,345039096,3221312,3703381,6924693,6953881,62659578,69613459,884975,3629461,4514435
30-Jun-1926,7922030,316628371,324550401,1641885,3853844,5495729,6648511,68030996,74679508,857475,4607221,5464697
31-Jul-1926,11361989,329999118,341361107,1809590,4161832,5971421,6426185,63370864,69797049,884802,3871534,4756336
31-Aug-1926,7235250,286100773,293336023,120869,5996369,6117238,5200942,78396242,83597184,9567,5625236,5634802
30-Sep-1926,5202358,246360054,251562411,6722,9529536,9536258,3992860,75587574,79580434,533710,7759288,8292998
31-Oct-1926,5106838,238210633,243317472,6722,10861352,10868074,4042683,76536817,80579500,533710,8407402,8941111
30-Nov-1926,16547575,333525322,350072897,2010888,4622101,6632989,8763540,65041429,73804969,507757,3752434,4260191
