Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,9744790,315077625,324822415,543405,4393054,4936459,5526678,69956989,75483668,206778,4292217,4498995
30-Nov-1921,7273554,296846908,304120462,120869,5395052,5515921,5475643,75312480,80788123,9752,4493578,4503330
31-Dec-1921,14635925,328659874,343295799,2002779,5013127,7015906,6977335,65482517,72459852,483203,3684512,4167715
31-Jan-1922,7084779,312820801,319905579,178144,5624266,5802410,6864365,64412667,71277032,9937,6009411,6019348
28-Feb-1922,27930611,368534326,396464938,2272803,3823639,6096442,25320645,61051177,86371821,2720219,3142650,5862869
31-Mar-1922,10896041,326553091,337449132,1601118,6216164,7817282,7748562,61125354,68873916,10110,5850114,5860224
30-Apr-1922,16013866,353977563,369991429,2911582,4513611,7425193,17244560,61606219,78850779,1845842,3289638,5135480
31-May-1922,8494139,318890818,327384958,1652045,4511397,6163442,6062587,70520787,76583374,879513,4046540,4926053
30-Jun-1922,7766038,311314171,319080210,1316767,4897190,6213957,6608462,70096052,76704514,269292,4476949,4746240
31-Jul-1922,8660861,309827646,318488507,543405,4599189,5142594,6039832,71069694,77109526,206433,4048707,4255139
31-Aug-1922,7919913,297145725,305065638,887,4530253,4531141,5653207,76118985,81772192,156157,5068670,5224827
30-Sep-1922,8613835,308783107,317396943,1072,4239176,4240248,5853394,72995315,78848709,156342,4399088,4555430
31-Oct-1922,7376331,304606901,311983232,122244,4970107,5092352,5598435,72269965,77868400,9752,4317372,4327124
30-Nov-1922,5933534,289182993,295116527,121178,6355496,6476675,6058278,72430556,78488834,9369,7528452,7537821
31-Dec-1922,27125209,366852451,393977660,1679272,4321729,6001001,27023746,60451648,87475394,2144393,2824031,4968424
31-Jan-1923,17340401,345359795,362700196,2274963,5593757,7868720,13555395,63126884,76682278,1531656,3413722,4945377
28-Feb-1923,5792110,298798173,304590283,63774,6422847,6486621,6430495,68195098,74625593,9369,5855933,5865302
31-Mar-1923,5606209,274212240,279818449,0,6226284,6226284,4654049,72032577,76686626,542437,6237256,6779693
30-Apr-1923,6344885,309278933,315623818,150644,5206963,5357607,6544530,66644556,73189086,9567,6155193,6164760
31-May-1923,8805800,309184564,317990364,1317654,5493339,6810994,5999246,70510550,76509797,269465,4568217,4837682
30-Jun-1923,7629241,300356870,307986112,551129,5008523,5559652,6356360,71905413,78261773,228838,5489375,5718212
31-Jul-1923,11622417,333601603,345224021,3221312,3571352,6792665,6897725,62878483,69776208,884802,3506478,4391280
31-Aug-1923,7730804,297168432,304899236,535295,4761632,5296928,5719412,75113869,80833281,181508,5306936,5488444
30-Sep-1923,5149862,260410425,265560287,9969,11425999,11435969,5591203,73389362,78980565,0,7038798,7038798
31-Oct-1923,7065999,286728472,293794471,171469,6160419,6331888,4992662,77236904,82229566,9369,6232266,6241635
30-Nov-1923,5695541,274669119,280364660,116859,7414506,7531365,5669394,75869789,81539183,8949,8285663,8294613
31-Dec-1923,5370904,267289258,272660161,0,9641052,9641052,5527688,73833152,79360840,8727,6671273,6680000
31-Jan-1924,5402562,268480017,273882578,0,6973312,6973312,4507976,72753917,77261893,542437,6819620,7362057
29-Feb-1924,6473573,302201894,308675467,63774,6307428,6371201,6473619,66897599,73371217,9369,5668666,5678035
31-Mar-1924,5756114,291168958,296925072,116859,5710933,5827792,6361612,73334324,79695936,9369,6734179,6743548
30-Apr-1924,5010779,241664717,246675496,8106,10565265,10573370,4206148,76006429,80212578,533710,8015823,8549533
31-May-1924,7784320,282600481,290384801,0,6198088,6198088,5094323,78699487,83793810,155774,6381466,6537240
30-Jun-1924,7769228,288915269,296684497,0,5542464,5542464,5352395,76971014,82323409,155972,6010181,6166153
31-Jul-1924,8705456,306028488,314733944,543405,4682824,5226229,5935445,72016383,77951828,206433,4395532,4601964
31-Aug-1924,7934587,297751164,305685751,0,4498007,4498007,5551498,76218039,81769537,156157,4823945,4980102
30-Sep-1924,5623768,266840719,272464487,29336,8527041,8556378,5484469,75979945,81464413,8949,7845404,7854353
31-Oct-1924,4844132,240505881,245350013,8106,11098028,11106134,4482876,76573739,81056615,533710,7948256,8481965
30-Nov-1924,5812799,272775802,278588601,29336,8108881,8138217,5960452,74460197,80420648,8949,7613736,7622685
31-Dec-1924,5876314,299895254,305771567,121178,5530295,5651473,6443942,68479815,74923758,9567,6899496,6909062
31-Jan-1925,5609512,286978373,292587886,65149,7037114,7102263,5975120,71809822,77784943,9369,6462950,6472320
28-Feb-1925,236493245,474543694,711036938,13762268,6035013,19797281,223609184,52190717,275799902,12853325,3156423,16009749
31-Mar-1925,5882099,300920843,306802942,121178,5838416,5959595,6630785,68403551,75034336,9752,6986445,6996196
30-Apr-1925,14947469,345842210,360789679,1650161,4503265,6153426,16764233,64713800,81478033,1132637,3303145,4435782
31-May-1925,7878682,289183044,297061727,535295,5619292,6154587,5214707,77617502,82832209,181693,5737383,5919076
30-Jun-1925,7696518,312370086,320066603,551129,3872922,4424051,6451350,69121967,75573318,228838,4561766,4790603
31-Jul-1925,12115336,337002422,349117758,3438822,3525483,6964305,7603368,61571869,69175237,885135,3362327,4247463
31-Aug-1925,7944668,301479156,309423824,535295,4362396,4897691,5813459,74629565,80443023,181878,4847788,5029666
30-Sep-1925,5660852,271760523,277421375,57276,7584457,7641733,5619393,74919343,80538736,8949,9043263,9052213
31-Oct-1925,5637693,266681592,272319284,57276,8202415,8259691,5607175,75697071,81304246,8949,9639067,9648016
30-Nov-1925,5837115,271039329,276876444,57276,7609530,7666806,5672090,75310765,80982855,8949,9118534,9127483
31-Dec-1925,5647659,271686910,277334569,0,8832499,8832499,5516946,73899661,79416607,8949,6700354,6709303
31-Jan-1926,11967687,320388403,332356091,107567,6109284,6216851,4990567,65591673,70582240,156515,4273620,4430135
28-Feb-1926,83726213,414856701,498582914,4391841,5934208,10326049,124226251,54805442,179031694,1968688,2674188,4642876
31-Mar-1926,13800198,330713098,344513296,2170774,4326303,6497077,6808386,65017315,71825700,206951,3944755,4151706
30-Apr-1926,11812716,324429048,336241764,543405,4595482,5138888,5670510,67241651,72912161,206951,3648673,3855624
31-May-1926,11611525,328051872,339663396,1641885,4132352,5774237,6070444,64412908,70483352,857821,3931519,4789340
30-Jun-1926,8952989,317918124,326871113,1641885,4214119,5856004,6110767,67900789,74011556,857648,4398373,5256021
31-Jul-1926,8928608,324435651,333364260,1641885,4100042,5741927,6223190,65751663,71974853,857648,4107446,4965094
31-Aug-1926,7230377,273883542,281113919,120869,7500735,7621604,4562521,80161824,84724346,9159,6741405,6750564
30-Sep-1926,5201945,245636828,250838773,6722,9599436,9606158,3990967,75823652,79814619,533710,7728449,8262158
31-Oct-1926,5106838,237958020,243064858,6722,10852295,10859017,4042683,76716466,80759149,533710,8418096,8951805
30-Nov-1926,16547575,333525322,350072897,2010888,4622101,6632989,8763540,65041429,73804969,507757,3752434,4260191
31-Dec-1926,29277928,386158651,415436579,2659133,5009434,7668568,39088121,56546504,95634626,1828076,2976211,4804287
31-Jan-1927,38608431,397880583,436489014,2207887,5120171,7328059,50487908,54612561,105100469,2494258,2806507,5300765
28-Feb-1927,731542956,589108362,1320651318,206618173,5730165,212348338,374794403,57387016,432181419,103448645,2646978,106095623
31-Mar-1927,18618442,364231520,382849961,2265915,4282144,6548058,22946767,60828427,83775194,2705484,3124567,5830051
30-Apr-1927,60606277,409748335,470354612,2608503,5846475,8454978,82881572,52308225,135189797,2672492,2747490,5419982
31-May-1927,7733139,295296801,303029940,537159,4754439,5291599,5354054,76316593,81670646,181311,5249482,5430793
30-Jun-1927,7990152,302992386,310982539,544293,4469745,5014037,5726889,72649215,78376105,206248,4861146,5067394
31-Jul-1927,22771935,369204731,391976666,3301427,6454748,9756176,17122758,53127614,70250371,1216967,3475015,4691982
31-Aug-1927,8910257,321348770,330259027,1641885,4145845,5787730,6212401,67165795,73378196,857648,4042504,4900153
30-Sep-1927,9700889,316219798,325920687,535295,4086689,4621984,5433940,69689888,75123828,182051,4310543,4492595
31-Oct-1927,6057553,281833888,287891441,116859,6723830,6840688,5699700,75421410,81121109,9159,7740143,7749302
30-Nov-1927,6675259,304621958,311297217,203290,5546605,5749895,6704550,68696476,75401026,9752,6170954,6180706
31-Dec-1927,9867087,313940938,323808026,229811,5371858,5601669,5389630,67889853,73279484,9937,4188487,4198424
31-Jan-1928,15937037,337103851,353040888,1842472,4574434,6416907,9322308,64761360,74083669,831659,3611621,4443280
29-Feb-1928,23018352,357597540,380615891,2093727,4589463,6683190,20084656,63597459,83682115,2670283,3538538,6208821
31-Mar-1928,305552276,498689659,804241935,28199721,5229358,33429079,296754113,58632839,355386952,24961051,2501261,27462312
30-Apr-1928,15063738,359622748,374686485,2835685,4496259,7331944,20320283,58997456,79317739,2146820,2900251,5047071
31-May-1928,14745239,347730631,362475871,2643002,4037827,6680829,11146361,58985589,70131950,952626,3410252,4362878
30-Jun-1928,14491428,345172071,359663499,2690970,3970927,6661897,9550585,58190744,67741329,632004,3841664,4473669
31-Jul-1928,18423692,374383688,392807380,2726277,6427277,9153554,26393890,53093404,79487294,1812189,3368778,5180968
31-Aug-1928,11655807,333940051,345595858,1809590,4045330,5854920,6505810,62128602,68634413,884975,3666771,4551746
30-Sep-1928,13205260,333538200,346743460,551129,4407786,4958915,6203928,61440705,67644633,229541,3980056,4209597
31-Oct-1928,8031007,302885780,310916787,0,4307591,4307591,5708150,74469961,80178111,156342,4717905,4874247
30-Nov-1928,5810520,283434549,289245069,146324,6721386,6867710,6125212,75188433,81313645,9369,7832360,7841729
31-Dec-1928,5965713,284466698,290432411,63774,6979415,7043189,5880691,72771913,78652604,9159,6886469,6895628
31-Jan-1929,6059211,282697368,288756579,887,8089860,8090748,5653379,71874466,77527845,9159,5642197,5651356
28-Feb-1929,16152436,334436993,350589430,1834060,4154720,5988779,8920096,65912563,74832659,808908,3782609,4591517
31-Mar-1929,5737238,293435898,299173136,93089,5705987,5799076,6367749,70468918,76836667,9369,7372398,7381767
30-Apr-1929,5372800,269374647,274747447,0,9298222,9298222,5610647,74018199,79628846,8727,6500271,6508998
31-May-1929,7904942,300214424,308119366,543405,4316332,4859737,5600864,74782539,80383403,206062,4752125,4958187
