Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,12478032,319436319,331914351,543405,4722629,5266035,5344233,67339910,72684143,206778,4103472,4310250
30-Nov-1921,7392274,296933784,304326057,120869,5086766,5207635,5573573,76524509,82098082,9752,4496817,4506569
31-Dec-1921,14635925,328659874,343295799,2002779,5013127,7015906,6977335,65482517,72459852,483203,3684512,4167715
31-Jan-1922,7084779,312820801,319905579,178144,5624266,5802410,6864365,64412667,71277032,9937,6009411,6019348
28-Feb-1922,43004252,386541503,429545755,1214550,4277724,5492275,53887431,57768397,111655827,2213358,2926786,5140144
31-Mar-1922,10896041,326155347,337051388,1600651,6228423,7829074,7748562,61318548,69067110,10110,5878289,5888398
30-Apr-1922,15242078,347994019,363236097,2934204,3797149,6731353,14866521,63825251,78691771,1517882,3633750,5151632
31-May-1922,8494139,318890818,327384958,1652045,4511397,6163442,6062587,70520787,76583374,879513,4046540,4926053
30-Jun-1922,8790566,317830778,326621345,1641885,4770575,6412460,6174091,68680834,74854924,857648,4042342,4899991
31-Jul-1922,8747059,317563798,326310856,1641885,4559100,6200986,6247911,68535473,74783384,857648,4043422,4901071
31-Aug-1922,8079778,303144429,311224207,544293,4503610,5047902,5785105,72721634,78506739,206248,4721098,4927346
30-Sep-1922,5986321,282799213,288785535,116859,7083539,7200397,5802493,74806574,80609067,9159,7367260,7376419
31-Oct-1922,6077838,282895261,288973100,91713,6685398,6777111,5657445,73639230,79296675,9159,8267234,8276393
30-Nov-1922,5984971,287640929,293625900,91713,6291278,6382992,5938536,72669410,78607946,9159,7615077,7624236
31-Dec-1922,34359048,383976046,418335094,1748394,4678832,6427226,46551982,58684113,105236095,2226042,2755737,4981779
31-Jan-1923,16127144,350091012,366218155,2670593,4527019,7197612,16595957,62926903,79522861,2062525,3714445,5776970
28-Feb-1923,5792110,298798173,304590283,63774,6422847,6486621,6430495,68195098,74625593,9369,5855933,5865302
31-Mar-1923,5606532,274370837,279977370,0,6195542,6195542,4654328,71993644,76647972,542437,6246513,6788950
30-Apr-1923,6344885,309279806,315624691,150644,5207140,5357783,6544530,66645623,73190153,9567,6156346,6165912
31-May-1923,9405557,312598516,322004073,1317654,5466366,6784020,6064677,69398194,75462871,269465,4205717,4475182
30-Jun-1923,7649527,302567441,310216969,551129,4593054,5144182,6363116,71725193,78088309,228838,5264757,5493594
31-Jul-1923,11360001,330129595,341489595,1809590,4115767,5925357,6427275,63381693,69808969,884802,3816948,4701750
31-Aug-1923,7730804,297168432,304899236,535295,4761632,5296928,5719412,75113869,80833281,181508,5306936,5488444
30-Sep-1923,5161834,264271531,269433365,9969,11245272,11255241,5617152,73469863,79087015,0,6674396,6674396
31-Oct-1923,7065676,286569875,293635551,171469,6191161,6362631,4992384,77275836,82268220,9369,6223009,6232378
30-Nov-1923,5708787,274307717,280016504,116859,7506936,7623794,5675792,76265058,81940850,9159,8147467,8156626
31-Dec-1923,5368690,266466078,271834768,0,9677083,9677083,5525855,74195287,79721142,8727,6748312,6757040
31-Jan-1924,5402562,268480017,273882578,0,6973312,6973312,4507976,72753917,77261893,542437,6819620,7362057
29-Feb-1924,6473573,302201894,308675467,63774,6307428,6371201,6473619,66897599,73371217,9369,5668666,5678035
31-Mar-1924,5756114,291168958,296925072,116859,5710933,5827792,6361612,73334324,79695936,9369,6734179,6743548
30-Apr-1924,5489936,263238930,268728866,29336,9087351,9116687,5534515,76111891,81646405,8949,8369021,8377970
31-May-1924,7784320,282282975,290067294,0,6268730,6268730,5094323,78832256,83926579,155774,6295561,6451335
30-Jun-1924,7786937,288745691,296532628,535295,5292535,5827830,5219550,76945098,82164649,181311,6436049,6617360
31-Jul-1924,7822164,295269809,303091973,543405,5107957,5651362,5636455,74026265,79662719,206062,5496266,5702328
31-Aug-1924,7429427,278291062,285720490,120869,6993347,7114215,4628712,79698307,84327020,9159,6061017,6070176
30-Sep-1924,4975128,250115820,255090948,8106,12377623,12385729,5587675,75718437,81306112,0,8153153,8153153
31-Oct-1924,4844132,239796226,244640358,8106,11238293,11246399,4481350,76713027,81194377,533710,8084857,8618567
30-Nov-1924,5812799,272775802,278588601,29336,8108881,8138217,5960452,74460197,80420648,8949,7613736,7622685
31-Dec-1924,5839473,297457201,303296674,121178,5757471,5878649,6458456,69197188,75655644,9567,7150701,7160267
31-Jan-1925,5609512,286978373,292587886,65149,7037114,7102263,5975120,71809822,77784943,9369,6462950,6472320
28-Feb-1925,309544849,493099190,802644038,45790624,6787581,52578205,271245941,55023134,326269075,22969095,2351532,25320628
31-Mar-1925,5882099,300877501,306759600,121178,5831441,5952620,6630785,68422320,75053105,9752,6975330,6985082
30-Apr-1925,14947469,345842210,360789679,1650161,4503265,6153426,16764233,64713800,81478033,1132637,3303145,4435782
31-May-1925,7799524,287278769,295078293,0,6143726,6143726,5201549,77802676,83004225,155972,5725446,5881418
30-Jun-1925,7688807,309172733,316861540,551129,4186318,4737447,6427314,70341895,76769210,228838,4538320,4767158
31-Jul-1925,11404102,326298989,337703091,1809590,4232183,6041772,6314426,64110364,70424790,884802,4211792,5096594
31-Aug-1925,7807722,284752581,292560303,0,5653036,5653036,5100148,78645080,83745228,155774,6612712,6768487
30-Sep-1925,5660852,271550855,277211707,57276,7615804,7673080,5619393,75033597,80652990,8949,9024967,9033916
31-Oct-1925,5637693,266681592,272319284,57276,8202415,8259691,5607175,75697071,81304246,8949,9639067,9648016
30-Nov-1925,5837115,271039329,276876444,57276,7609530,7666806,5672090,75310765,80982855,8949,9118534,9127483
31-Dec-1925,5647659,271686910,277334569,0,8832499,8832499,5516946,73899661,79416607,8949,6700354,6709303
31-Jan-1926,11967687,320388403,332356091,107567,6109284,6216851,4990567,65591673,70582240,156515,4273620,4430135
28-Feb-1926,122937905,436079654,559017559,5022654,4913121,9935775,168152651,52831428,220984079,3511833,2126706,5638539
