Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Oct-1921,2.45,4.81,0.06,0.12,2.51,4.92
Nov-1921,2.33,4.56,0.03,0.06,2.36,4.62
Dec-1921,2.32,4.53,0.03,0.06,2.35,4.59
Jan-1922,2.33,4.55,0.03,0.06,2.36,4.61
Feb-1922,2.41,4.71,0.03,0.06,2.44,4.77
Mar-1922,2.37,4.65,0.03,0.06,2.4,4.71
Apr-1922,2.41,4.71,0.02,0.04,2.43,4.75
May-1922,2.4,4.71,0.03,0.06,2.42,4.77
Jun-1922,2.4,4.74,0.04,0.09,2.45,4.83
Jul-1922,2.43,4.78,0.03,0.06,2.46,4.83
Aug-1922,2.41,4.74,0.06,0.12,2.46,4.86
Sep-1922,2.4,4.71,0.06,0.11,2.46,4.83
Oct-1922,2.32,4.53,0.03,0.06,2.35,4.6
Nov-1922,2.39,4.65,0.01,0.03,2.4,4.68
Dec-1922,2.3,4.5,0.02,0.04,2.32,4.53
Jan-1923,2.27,4.45,0.03,0.06,2.3,4.51
Feb-1923,2.35,4.6,0.03,0.06,2.38,4.66
Mar-1923,2.48,4.82,0.03,0.06,2.51,4.88
Apr-1923,2.36,4.62,0.03,0.06,2.39,4.68
May-1923,2.4,4.73,0.03,0.06,2.43,4.79
Jun-1923,2.41,4.74,0.06,0.12,2.47,4.86
Jul-1923,2.18,4.3,0.09,0.17,2.27,4.47
Aug-1923,2.45,4.81,0.06,0.12,2.51,4.93
Sep-1923,2.33,4.54,0.03,0.06,2.36,4.6
Oct-1923,2.35,4.59,0.03,0.06,2.38,4.66
Nov-1923,2.37,4.64,0.03,0.06,2.4,4.7
Dec-1923,2.41,4.7,0.03,0.06,2.44,4.76
Jan-1924,2.44,4.78,0.03,0.06,2.47,4.83
Feb-1924,2.37,4.63,0.03,0.06,2.39,4.69
Mar-1924,2.37,4.64,0.03,0.06,2.4,4.7
Apr-1924,2.48,4.82,0.03,0.06,2.51,4.88
May-1924,2.38,4.65,0.03,0.07,2.41,4.71
Jun-1924,2.41,4.71,0.03,0.07,2.44,4.78
Jul-1924,2.48,4.87,0.06,0.11,2.54,4.98
Aug-1924,2.36,4.62,0.03,0.06,2.39,4.68
Sep-1924,2.35,4.59,0.03,0.06,2.38,4.64
Oct-1924,2.43,4.75,0.03,0.06,2.46,4.8
Nov-1924,2.39,4.67,0.03,0.06,2.41,4.72
Dec-1924,2.38,4.65,0.03,0.06,2.41,4.71
Jan-1925,2.35,4.6,0.03,0.06,2.38,4.66
Feb-1925,2.2,4.32,0.08,0.14,2.28,4.46
Mar-1925,2.36,4.62,0.03,0.06,2.39,4.68
Apr-1925,2.35,4.62,0.03,0.06,2.38,4.68
May-1925,2.31,4.52,0.03,0.06,2.34,4.58
Jun-1925,2.38,4.68,0.03,0.06,2.4,4.73
Jul-1925,2.21,4.36,0.09,0.17,2.3,4.53
Aug-1925,2.44,4.79,0.06,0.12,2.5,4.91
Sep-1925,2.41,4.72,0.03,0.06,2.44,4.77
Oct-1925,2.35,4.58,0.03,0.06,2.37,4.64
Nov-1925,2.45,4.78,0.03,0.06,2.49,4.84
Dec-1925,2.35,4.62,0.03,0.06,2.38,4.67
Jan-1926,2.36,4.62,0.03,0.06,2.39,4.68
Feb-1926,2.26,4.44,0.03,0.06,2.29,4.51
Mar-1926,2.37,4.63,0.03,0.06,2.4,4.7
Apr-1926,2.33,4.56,0.03,0.06,2.36,4.62
May-1926,2.4,4.74,0.06,0.12,2.46,4.85
Jun-1926,2.34,4.61,0.03,0.06,2.37,4.67
Jul-1926,2.34,4.61,0.03,0.06,2.37,4.67
Aug-1926,2.31,4.5,0.03,0.06,2.34,4.57
Sep-1926,2.48,4.83,0.03,0.06,2.51,4.88
Oct-1926,2.43,4.75,0.03,0.06,2.46,4.81
Nov-1926,2.35,4.6,0.03,0.06,2.38,4.66
Dec-1926,2.3,4.51,0.02,0.04,2.32,4.55
Jan-1927,2.23,4.38,0.02,0.04,2.26,4.42
Feb-1927,1.41,2.79,1.72,3.2,3.13,5.99
Mar-1927,2.35,4.59,0.03,0.06,2.39,4.66
Apr-1927,2.23,4.41,0.04,0.07,2.27,4.48
May-1927,2.35,4.6,0.03,0.06,2.38,4.67
Jun-1927,2.41,4.74,0.06,0.12,2.47,4.86
Jul-1927,2.1,4.17,0.09,0.17,2.19,4.34
Aug-1927,2.36,4.67,0.04,0.09,2.4,4.76
Sep-1927,2.47,4.84,0.02,0.04,2.49,4.88
Oct-1927,2.39,4.67,0.03,0.06,2.42,4.73
Nov-1927,2.37,4.64,0.03,0.06,2.4,4.7
Dec-1927,2.36,4.62,0.03,0.06,2.39,4.68
Jan-1928,2.28,4.46,0.03,0.06,2.31,4.52
Feb-1928,2.47,4.8,0.03,0.06,2.5,4.86
Mar-1928,1.92,3.8,0.32,0.6,2.24,4.4
Apr-1928,2.51,4.9,0.03,0.06,2.54,4.96
May-1928,2.33,4.6,0.06,0.11,2.38,4.72
Jun-1928,2.3,4.56,0.08,0.15,2.38,4.72
Jul-1928,2.09,4.13,0.08,0.17,2.17,4.3
Aug-1928,2.34,4.64,0.06,0.12,2.4,4.75
Sep-1928,2.47,4.86,0.06,0.12,2.53,4.97
Oct-1928,2.38,4.65,0.03,0.06,2.41,4.71
Nov-1928,2.39,4.65,0.03,0.06,2.42,4.71
