Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,1289079,106783686,108072765,675397,4031663,4707060,585404,44087373,44672777,0,1635930,1635930
30-Nov-1921,428746,95523497,95952243,0,3055892,3055892,669361,40418688,41088049,0,2155274,2155274
31-Dec-1921,0,79784365,79784365,0,4093133,4093133,645562,39208157,39853719,0,2170634,2170634
31-Jan-1922,0,75208133,75208133,0,3726062,3726062,657754,39518778,40176532,0,2298136,2298136
28-Feb-1922,0,89084723,89084723,0,4390011,4390011,663684,40849398,41513082,0,2179572,2179572
31-Mar-1922,0,74732756,74732756,0,3943496,3943496,639302,40593230,41232532,0,2181388,2181388
30-Apr-1922,708637,100538131,101246768,0,4648544,4648544,413193,39898963,40312156,0,1873742,1873742
31-May-1922,2038605,112004674,114043279,0,2941998,2941998,612949,43484507,44097455,0,1707789,1707789
30-Jun-1922,1525085,117257244,118782329,0,2950484,2950484,1240956,44465258,45706215,0,1231155,1231155
31-Jul-1922,1523175,117652050,119175225,0,3204021,3204021,1237265,44822392,46059657,0,919380,919380
31-Aug-1922,2019476,112427132,114446608,0,2315685,2315685,602800,44115907,44718707,0,1699303,1699303
30-Sep-1922,428746,91940931,92369677,0,3614097,3614097,663430,40176175,40839605,0,2196492,2196492
31-Oct-1922,386877,85553294,85940171,0,3311226,3311226,616688,41298781,41915469,0,2281637,2281637
30-Nov-1922,675164,81502026,82177189,0,3517711,3517711,303011,40576382,40879393,0,2601163,2601163
31-Dec-1922,670700,100701861,101372560,0,2963269,2963269,386572,40010690,40397261,0,2156772,2156772
31-Jan-1923,0,83648573,83648573,0,4098571,4098571,669615,38971863,39641479,0,1919269,1919269
28-Feb-1923,0,74540784,74540784,0,3865124,3865124,627111,40210396,40837507,0,2152337,2152337
31-Mar-1923,0,74011435,74011435,0,3018885,3018885,639362,40456605,41095967,0,2484246,2484246
30-Apr-1923,0,75810473,75810473,0,4111260,4111260,627111,40364797,40991908,0,2087760,2087760
31-May-1923,1769091,116262198,118031289,0,2829650,2829650,945835,44326284,45272120,0,1291661,1291661
30-Jun-1923,2034785,114794452,116829237,0,2683892,2683892,605566,43082439,43688004,0,1471084,1471084
31-Jul-1923,1375952,121321563,122697515,0,2811353,2811353,1447854,43571933,45019787,0,1011272,1011272
31-Aug-1923,1308726,109449988,110758713,675397,3291972,3967370,590696,43736101,44326797,0,1880540,1880540
30-Sep-1923,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
31-Oct-1923,420952,91464081,91885033,0,3678970,3678970,655316,40569721,41225037,0,2334314,2334314
30-Nov-1923,386877,86264412,86651289,0,3266688,3266688,622948,40810025,41432973,0,2328200,2328200
31-Dec-1923,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
31-Jan-1924,24688,68309995,68334684,0,4266693,4266693,595174,41102745,41697918,0,2406681,2406681
29-Feb-1924,0,73144044,73144044,0,3900080,3900080,627111,40310076,40937187,0,2226725,2226725
31-Mar-1924,386877,86264412,86651289,0,3266688,3266688,622948,40810025,41432973,0,2328200,2328200
30-Apr-1924,675164,79919149,80594312,0,3424567,3424567,297080,40545247,40842327,0,2686562,2686562
31-May-1924,576825,103319443,103896268,0,4337606,4337606,702038,40004072,40706110,0,2254193,2254193
30-Jun-1924,859760,105097300,105957060,0,4466180,4466180,436098,41428615,41864713,0,1820980,1820980
31-Jul-1924,729997,105038636,105768633,666813,4007232,4674046,568903,43546118,44115020,0,1929479,1929479
31-Aug-1924,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1924,675164,77579277,78254441,0,2520029,2520029,290820,39556017,39846837,0,2420844,2420844
31-Oct-1924,24688,69706735,69731423,0,4231736,4231736,595174,41003065,41598238,0,2332293,2332293
30-Nov-1924,24688,72450182,72474870,0,4071556,4071556,595174,40527858,41123031,0,2242395,2242395
31-Dec-1924,0,74512606,74512606,0,3915349,3915349,633371,40573409,41206780,0,2219005,2219005
31-Jan-1925,0,71862433,71862433,0,4067388,4067388,633371,40387848,41021219,0,2027633,2027633
28-Feb-1925,283243,114244529,114527772,107733,4460842,4568575,621005,37904813,38525819,299620,1663284,1962904
31-Mar-1925,0,74506770,74506770,0,3965078,3965078,627111,40321390,40948501,0,2178943,2178943
30-Apr-1925,0,82838712,82838712,0,5720899,5720899,633371,39355012,39988383,0,1844308,1844308
31-May-1925,435371,99503992,99939363,0,4556646,4556646,682701,39009615,39692316,0,2155291,2155291
30-Jun-1925,2000950,113163631,115164581,0,2920915,2920915,597508,43294222,43891730,0,1634602,1634602
31-Jul-1925,1003380,125435563,126438943,0,2775457,2775457,1837517,40640257,42477774,0,1394430,1394430
31-Aug-1925,998173,106169031,107167204,666813,4396650,5063464,578809,43557137,44135946,0,1628993,1628993
30-Sep-1925,411599,84727980,85139579,0,3502126,3502126,633622,41541655,42175278,0,2276771,2276771
31-Oct-1925,386877,84249591,84636468,0,3165044,3165044,616688,41255374,41872062,0,2372820,2372820
30-Nov-1925,675164,81502026,82177189,0,3517711,3517711,303011,40576382,40879393,0,2601163,2601163
31-Dec-1925,24688,71162736,71187424,0,4288593,4288593,595174,40353611,40948784,0,2003241,2003241
31-Jan-1926,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
28-Feb-1926,57486,99458907,99516394,0,3961641,3961641,669615,39654789,40324405,0,1681160,1681160
31-Mar-1926,428746,98035610,98464356,0,5055038,5055038,681223,39864364,40545587,0,1855781,1855781
30-Apr-1926,0,80701091,80701091,0,3842713,3842713,633371,39961090,40594461,0,2090330,2090330
31-May-1926,2000950,114661486,116662436,0,2809416,2809416,597508,42909694,43507202,0,1570857,1570857
30-Jun-1926,2034785,114794452,116829237,0,2683892,2683892,605566,43082439,43688004,0,1471084,1471084
31-Jul-1926,1769091,116821978,118591069,0,3078365,3078365,945835,44604845,45550680,0,1024612,1024612
31-Aug-1926,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1926,20563,69862556,69883119,0,3062448,3062448,605290,41654599,42259889,0,2880790,2880790
31-Oct-1926,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
30-Nov-1926,0,78622094,78622094,0,4603906,4603906,632521,39508146,40140667,0,2156377,2156377
31-Dec-1926,691490,109542129,110233619,22727,3549685,3572413,395906,39612878,40008784,0,2024048,2024048
31-Jan-1927,907973,117368217,118276190,0,3093867,3093867,443186,38970255,39413440,0,2006735,2006735
28-Feb-1927,5013122,205425493,210438615,10578260,1959934,12538193,10757265,26836873,37594139,5219386,507763,5727150
31-Mar-1927,290039,94936676,95226715,0,2235863,2235863,694908,40835531,41530439,0,2530938,2530938
30-Apr-1927,2079420,129361102,131440521,34383,3813681,3848064,736142,40762932,41499073,0,1156558,1156558
31-May-1927,568327,102001041,102569369,0,3809793,3809793,695688,42448996,43144683,0,2457352,2457352
30-Jun-1927,1287169,107576379,108863548,675397,3889423,4564820,581712,43918595,44500307,0,1778811,1778811
31-Jul-1927,1325562,138295707,139621268,7551,3224532,3232083,1833157,39254508,41087665,0,936106,936106
31-Aug-1927,1521153,117497886,119019039,0,3184012,3184012,1233356,44865713,46099069,0,919380,919380
30-Sep-1927,729997,105038636,105768633,666813,4007232,4674046,568903,43546118,44115020,0,1929479,1929479
31-Oct-1927,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
30-Nov-1927,0,76036459,76036459,0,4089678,4089678,639302,40636637,41275939,0,2090204,2090204
31-Dec-1927,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
31-Jan-1928,0,81507292,81507292,0,4002262,4002262,657754,38752030,39409784,0,2098621,2098621
29-Feb-1928,0,86954324,86954324,0,4516998,4516998,651823,41313419,41965241,0,2159549,2159549
31-Mar-1928,1448822,167143847,168592669,663497,2346188,3009685,3443882,36866582,40310464,907609,779612,1687221
30-Apr-1928,0,86975333,86975333,0,3472435,3472435,651553,42611664,43263217,0,2651474,2651474
31-May-1928,2056748,116808861,118865609,0,2961186,2961186,617888,43840684,44458572,0,1029742,1029742
30-Jun-1928,1005177,127457355,128462532,10695,3037468,3048164,1840991,39362132,41203124,0,1460995,1460995
31-Jul-1928,1325562,138295707,139621268,7551,3224532,3232083,1833157,39254508,41087665,0,936106,936106
31-Aug-1928,1005177,127457355,128462532,10695,3037468,3048164,1840991,39362132,41203124,0,1460995,1460995
30-Sep-1928,2070147,115830844,117900991,0,2835880,2835880,616823,43929458,44546282,0,1421062,1421062
31-Oct-1928,568327,101985006,102553333,0,4922075,4922075,695688,39399420,40095107,0,2173508,2173508
30-Nov-1928,0,78859717,78859717,0,2734700,2734700,639362,40868305,41507667,0,2584434,2584434
31-Dec-1928,0,73144044,73144044,0,3900080,3900080,627111,40310076,40937187,0,2226725,2226725
31-Jan-1929,0,71856598,71856598,0,4117117,4117117,627111,40135829,40762940,0,1987571,1987571
28-Feb-1929,24688,80001394,80026082,0,4063918,4063918,595174,39926853,40522027,0,2065938,2065938
31-Mar-1929,290039,79242878,79532917,0,1840578,1840578,658664,40577475,41236139,0,2903798,2903798
30-Apr-1929,0,77556014,77556014,0,2588518,2588518,639362,40824898,41464260,0,2675618,2675618
31-May-1929,1289079,107819991,109109069,675397,3923867,4599264,585404,44055967,44641371,0,1785748,1785748
30-Jun-1929,576825,104044771,104621596,0,3267023,3267023,702038,42951533,43653571,0,2452484,2452484
31-Jul-1929,859760,104951077,105810838,0,3758245,3758245,436098,43335419,43771517,0,2004458,2004458
31-Aug-1929,435371,95666459,96101830,0,2918623,2918623,676770,39636400,40313170,0,2435088,2435088
30-Sep-1929,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1929,386877,85553294,85940171,0,3311226,3311226,616688,41298781,41915469,0,2281637,2281637
30-Nov-1929,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
31-Dec-1929,670700,100465142,101135841,0,3168689,3168689,386572,40834514,41221086,0,2354094,2354094
31-Jan-1930,0,88297846,88297846,0,4256690,4256690,681866,39724883,40406749,0,2333674,2333674
28-Feb-1930,0,83769981,83769981,0,5704507,5704507,645562,38886077,39531639,0,1853253,1853253
31-Mar-1930,0,83784191,83784191,0,4678463,4678463,639302,42322294,42961596,0,2004981,2004981
30-Apr-1930,24688,69828783,69853471,0,4248287,4248287,595174,40755364,41350537,0,1981702,1981702
31-May-1930,411599,91627583,92039182,0,3384951,3384951,639883,40440581,41080463,0,2194660,2194660
30-Jun-1930,859760,104951077,105810838,0,3758245,3758245,436098,43335419,43771517,0,2004458,2004458
31-Jul-1930,1308726,111186674,112495400,675397,2810483,3485880,590696,43562465,44153161,0,1859589,1859589
31-Aug-1930,558912,97787451,98346363,0,2916475,2916475,676770,39334606,40011376,0,2476655,2476655
30-Sep-1930,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1930,290039,76586870,76876909,0,2042346,2042346,652404,40139896,40792300,0,2672364,2672364
30-Nov-1930,0,74905841,74905841,0,2740557,2740557,639362,40639337,41278699,0,2484246,2484246
31-Dec-1930,20563,65997209,66017772,0,4010134,4010134,593039,41463459,42056498,0,2501117,2501117
31-Jan-1931,0,77892345,77892345,0,4249143,4249143,633371,39931883,40565255,0,2203138,2203138
28-Feb-1931,0,77556014,77556014,0,2588518,2588518,639362,40824898,41464260,0,2675618,2675618
31-Mar-1931,0,74911677,74911677,0,2690828,2690828,645622,40891355,41536977,0,2524308,2524308
30-Apr-1931,411599,86742801,87154400,0,3603769,3603769,639883,41096306,41736189,0,2232151,2232151
31-May-1931,568327,101349081,101917408,0,4803091,4803091,689757,39263330,39953087,0,2255699,2255699
30-Jun-1931,568327,101275713,101844040,0,4880376,4880376,695688,39501534,40197222,0,2259061,2259061
31-Jul-1931,1287169,106540075,107827244,675397,3997218,4672616,581712,43950001,44531713,0,1628993,1628993
31-Aug-1931,565147,99341221,99906368,0,2978988,2978988,689757,39072209,39761966,0,2490701,2490701
30-Sep-1931,314728,73040267,73354995,0,2191922,2191922,620467,41106812,41727278,0,3091473,3091473
31-Oct-1931,386877,84249591,84636468,0,3165044,3165044,616688,41255374,41872062,0,2372820,2372820
30-Nov-1931,0,74905841,74905841,0,2740557,2740557,639362,40639337,41278699,0,2484246,2484246
31-Dec-1931,0,89120066,89120066,0,4306772,4306772,651823,41235051,41886873,0,1836708,1836708
31-Jan-1932,0,82759345,82759345,0,3718424,3718424,657754,38917774,39575528,0,2121679,2121679
29-Feb-1932,0,72546737,72546737,0,4068723,4068723,627111,40096845,40723955,0,2110385,2110385
31-Mar-1932,0,69003857,69003857,0,4095216,4095216,627111,40884963,41512074,0,2391011,2391011
30-Apr-1932,20563,67707719,67728281,0,4160680,4160680,593039,41333823,41926862,0,2384116,2384116
31-May-1932,411599,88818838,89230436,0,3791381,3791381,639883,40411374,41051257,0,2307467,2307467
30-Jun-1932,558912,98235310,98794222,0,2960149,2960149,682701,39148156,39830856,0,2419823,2419823
31-Jul-1932,568327,101349081,101917408,0,4803091,4803091,689757,39263330,39953087,0,2255699,2255699
31-Aug-1932,428746,91940931,92369677,0,3614097,3614097,663430,40176175,40839605,0,2196492,2196492
30-Sep-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Oct-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
30-Nov-1932,24688,70464833,70489521,0,3168461,3168461,607425,41423521,42030946,0,2903355,2903355
31-Dec-1932,20563,70560459,70581022,0,4182581,4182581,593039,40584689,41177728,0,1980676,1980676
31-Jan-1933,24688,77192648,77217336,0,4470348,4470348,595174,39897647,40492820,0,2178745,2178745
28-Feb-1933,20563,71847906,71868468,0,3965544,3965544,593039,40758935,41351975,0,2219829,2219829
31-Mar-1933,0,79163029,79163029,0,4364607,4364607,626260,40162646,40788907,0,2132872,2132872
30-Apr-1933,20563,66336308,66356871,0,4135277,4135277,593039,41674271,42267310,0,2472556,2472556
31-May-1933,1291101,109860626,111151727,675397,3341218,4016615,589313,43817517,44406830,0,1768029,1768029
30-Jun-1933,854694,104825443,105680137,0,3981198,3981198,430100,40651088,41081188,0,2272367,2272367
31-Jul-1933,573783,102669224,103243007,0,4843454,4843454,702038,39523555,40225594,0,2307291,2307291
