Time,Chan90,Chan95,Bank90,Bank95,Totl90,Totl95
Oct-1921,2.75,4.97,1.26,2.53,4.02,7.5
Nov-1921,1.69,3.23,1.27,2.54,2.96,5.77
Dec-1921,23.23,40.44,0.84,1.68,24.07,42.12
Jan-1922,19.92,34.71,0.89,1.77,20.8,36.49
Feb-1922,69.6,122.26,1.14,2.28,70.74,124.54
Mar-1922,53.11,92.14,1.02,2.04,54.13,94.18
Apr-1922,3.57,6.47,1.3,2.59,4.86,9.07
May-1922,15.43,26.91,0.88,1.76,16.3,28.67
Jun-1922,2.94,5.31,1.26,2.51,4.19,7.82
Jul-1922,2.75,4.97,1.26,2.53,4.02,7.5
Aug-1922,19.06,33.29,0.86,1.73,19.93,35.02
Sep-1922,19.06,33.29,0.86,1.73,19.93,35.02
Oct-1922,13.84,24.22,0.84,1.68,14.68,25.89
Nov-1922,9.24,16.16,0.86,1.73,10.11,17.88
Dec-1922,51.73,90.28,0.78,1.55,52.5,91.84
Jan-1923,38.41,66.76,0.98,1.96,39.39,68.72
Feb-1923,10.09,17.55,0.89,1.77,10.97,19.32
Mar-1923,3.23,5.85,1.27,2.54,4.5,8.39
Apr-1923,13.84,24.22,0.84,1.68,14.68,25.89
May-1923,2.94,5.31,1.26,2.51,4.19,7.82
Jun-1923,2.94,5.31,1.26,2.51,4.19,7.82
Jul-1923,2.75,4.97,1.26,2.53,4.02,7.5
Aug-1923,2.75,4.97,1.26,2.53,4.02,7.5
Sep-1923,2.75,4.97,1.26,2.53,4.02,7.5
Oct-1923,2.75,4.97,1.26,2.53,4.02,7.5
Nov-1923,1.69,3.23,1.27,2.54,2.96,5.77
Dec-1923,1.69,3.23,1.27,2.54,2.96,5.77
Jan-1924,2.21,4.06,1.19,2.37,3.4,6.43
Feb-1924,14.58,25.39,0.85,1.7,15.43,27.09
Mar-1924,2.62,4.75,1.26,2.51,3.88,7.26
Apr-1924,3.87,7.04,1.28,2.56,5.15,9.6
May-1924,3.23,5.85,1.27,2.54,4.5,8.39
Jun-1924,2.94,5.31,1.26,2.51,4.19,7.82
Jul-1924,2.75,4.97,1.26,2.53,4.02,7.5
Aug-1924,2.75,4.97,1.26,2.53,4.02,7.5
Sep-1924,2.9,5.21,1.23,2.46,4.13,7.67
Oct-1924,1.69,3.23,1.27,2.54,2.96,5.77
Nov-1924,1.69,3.23,1.27,2.54,2.96,5.77
Dec-1924,19.06,33.29,0.86,1.73,19.93,35.02
Jan-1925,2.58,4.65,1.2,2.39,3.78,7.04
Feb-1925,72.87,129.89,1.12,2.24,73.98,132.12
Mar-1925,4.73,8.46,1.3,2.6,6.03,11.07
Apr-1925,19.06,33.29,0.86,1.73,19.93,35.02
May-1925,9.24,16.16,0.86,1.73,10.11,17.88
Jun-1925,2.9,5.21,1.23,2.46,4.13,7.67
Jul-1925,2.75,4.97,1.26,2.53,4.02,7.5
