Time,Bank_00,Chan_00,Totl_00,Bank_01,Chan_01,Totl_01,Bank_10,Chan_10,Totl_10,Bank_11,Chan_11,Totl_11
31-Oct-1921,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
30-Nov-1921,25350276,2994879,28345155,0,27209271,27209271,27331754,0,27331754,0,3032618,3032618
31-Dec-1921,55272250,4475292,59747541,0,104532554,104532554,18036839,6597969,24634808,0,129579260,129579260
31-Jan-1922,53742192,5227736,58969928,0,90573828,90573828,19067262,7639450,26706712,0,110099712,110099712
28-Feb-1922,74275644,29425578,103701222,0,223918126,223918126,25957090,207142475,233099565,0,370340362,370340362
31-Mar-1922,68524783,8513438,77038221,0,161394975,161394975,21913980,72498664,94412644,0,302955731,302955731
30-Apr-1922,32698768,2899759,35598527,0,31808890,31808890,27911636,2286915,30198551,0,14216656,14216656
31-May-1922,52754988,5487824,58242812,0,66827506,66827506,18910028,10525029,29435057,0,84851178,84851178
30-Jun-1922,32040075,2503980,34544055,0,25313776,25313776,27015335,1571955,28587291,0,12101526,12101526
31-Jul-1922,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
31-Aug-1922,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
30-Sep-1922,32248973,2569889,34818862,0,23759757,23759757,26516929,932178,27449108,0,12537301,12537301
31-Oct-1922,25350276,2994879,28345155,0,27209271,27209271,27331754,0,27331754,0,3032618,3032618
30-Nov-1922,47784287,2968356,50752643,0,44534748,44534748,18575396,3761380,22336776,0,50204234,50204234
31-Dec-1922,71620775,15802648,87423423,0,181994919,181994919,16944767,126328383,143273150,0,323330859,323330859
31-Jan-1923,62132111,5929617,68061729,0,141321067,141321067,21909149,39554977,61464126,0,222035608,222035608
28-Feb-1923,48069921,4098067,52167988,0,41257430,41257430,19046229,6024913,25071143,0,56600774,56600774
31-Mar-1923,32600747,2897622,35498369,0,27912460,27912460,27288861,1912759,29201620,0,13248509,13248509
30-Apr-1923,52177179,3741786,55918965,0,69174574,69174574,18022446,4734715,22757161,0,74658438,74658438
31-May-1923,32040075,2503980,34544055,0,25313776,25313776,27015335,1571955,28587291,0,12101526,12101526
30-Jun-1923,32040075,2503980,34544055,0,25313776,25313776,27015335,1571955,28587291,0,12101526,12101526
31-Jul-1923,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
31-Aug-1923,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
30-Sep-1923,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
31-Oct-1923,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
30-Nov-1923,25350276,2994879,28345155,0,27209271,27209271,27331754,0,27331754,0,3032618,3032618
31-Dec-1923,25350276,2994879,28345155,0,27209271,27209271,27331754,0,27331754,0,3032618,3032618
31-Jan-1924,27896512,2950488,30847000,0,23993008,23993008,25525210,0,25525210,0,7864544,7864544
29-Feb-1924,52517513,4837893,57355406,0,65016583,65016583,18316544,4935729,23252273,0,81278334,81278334
31-Mar-1924,29472166,2951897,32424062,0,23944575,23944575,27032232,244710,27276943,0,10761659,10761659
30-Apr-1924,33478476,2915268,36393745,0,35327178,35327178,27522162,2656750,30178912,0,15110332,15110332
31-May-1924,32600747,2897622,35498369,0,27912460,27912460,27288861,1912759,29201620,0,13248509,13248509
30-Jun-1924,32040075,2503980,34544055,0,25313776,25313776,27015335,1571955,28587291,0,12101526,12101526
31-Jul-1924,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
31-Aug-1924,30767164,2736502,33503666,0,24084965,24084965,27217580,493185,27710765,0,11543161,11543161
